ENST00000622694.4	116	185	1	1	0	0	1	52
ENST00000622694.4	116	396	1	1	0	0	1	45
ENST00000614949.4	116	185	1	1	0	0	1	45
ENST00000399767.5	116	326	1	1	0	0	1	45
ENST00000399774.7	113	182	1	1	0	0	1	52
ENST00000399774.7	113	393	1	1	0	0	1	45
ENST00000617586.1	116	185	1	1	0	0	1	52
ENST00000395701.7	1772	1839	1	1	0	0	1	50
ENST00000263202.14	626	694	1	5	0	0	1	24
ENST00000399523.5	583	651	1	5	0	0	1	24
ENST00000421968.6	103	235	1	1	0	5	0	74
ENST00000421968.6	563	631	1	5	0	0	1	24
ENST00000621271.4	4677	4700	1	1	0	0	1	36
ENST00000427926.5	4877	4900	1	1	0	0	1	36
ENST00000622493.4	1081	1104	1	1	0	0	1	36
ENST00000617926.4	1361	1384	1	1	0	0	1	36
ENST00000617103.4	4762	4785	1	1	0	0	1	36
ENST00000537045.5	674	750	1	1	0	0	1	12
ENST00000545799.5	797	873	1	1	0	0	1	12
ENST00000263196.11	797	873	1	1	0	0	1	12
ENST00000207636.9	649	706	1	1	0	0	26	73
ENST00000263207.7	3074	3193	0	0	0	3	0	58
ENST00000435265.5	1067	1649	1	1	0	0	3	39
ENST00000435265.5	1067	1652	1	1	0	0	6	73
ENST00000334554.11	442	801	1	1	0	0	3	74
ENST00000320602.11	301	384	1	1	0	0	3	74
ENST00000405930.3	301	660	1	1	0	0	3	74
ENST00000497716.5	175	618	1	1	0	0	2	75
ENST00000621118.4	559	600	1	1	0	0	1	48
ENST00000215798.10	924	1011	1	1	0	0	2	52
ENST00000615189.4	3438	3733	1	1	0	1	0	52
ENST00000354694.11	1277	1599	1	1	0	0	1	14
ENST00000402281.5	1745	2067	1	1	0	0	1	14
ENST00000405677.5	1697	2019	1	1	0	0	1	14
ENST00000402284.7	1166	1488	1	1	0	0	1	14
ENST00000335214.8	1180	1502	1	1	0	0	1	14
ENST00000444502.5	2046	2399	1	1	0	0	1	53
ENST00000215909.9	181	352	0	0	0	1	2	61
ENST00000398145.6	659	749	1	1	0	0	1	18
ENST00000336873.9	551	641	1	1	0	0	1	18
ENST00000439453.5	592	682	1	1	0	0	1	18
ENST00000422379.2	539	629	1	1	0	0	1	18
ENST00000215917.11	1731	3500	2	2	0	0	2	71
ENST00000266269.9	2138	2202	1	1	0	0	1	74
ENST00000439997.5	333	403	1	1	0	0	27	71
ENST00000488684.5	180	238	1	1	0	0	11	73
ENST00000483713.5	180	238	1	1	0	0	16	73
ENST00000470701.1	82	134	1	1	0	0	6	73
ENST00000216027.7	344	398	1	1	0	0	2	43
ENST00000416285.5	76	403	1	1	0	0	3	67
ENST00000445215.5	463	549	1	1	0	0	1	49
ENST00000252115.9	556	642	1	1	0	0	1	49
ENST00000612753.4	1984	2064	1	1	0	0	3	53
ENST00000216061.9	1973	2053	1	1	0	0	3	53
ENST00000401672.7	779	859	1	1	0	0	3	53
ENST00000438058.5	239	303	1	1	0	0	2	62
ENST00000439512.5	272	300	1	1	0	0	1	41
ENST00000290429.10	558	775	1	1	0	0	2	64
ENST00000356098.9	709	927	2	2	0	0	1	42
ENST00000216124.9	864	1082	2	2	0	0	1	42
ENST00000395621.7	742	960	2	2	0	0	1	42
ENST00000395619.3	653	871	2	2	0	0	1	42
ENST00000402527.5	30	234	1	1	0	0	3	21
ENST00000402527.5	30	260	1	1	0	5	0	21
ENST00000405409.6	241	396	1	1	0	1	0	41
ENST00000216185.6	731	854	1	1	0	0	1	63
ENST00000416967.1	285	408	1	1	0	0	1	63
ENST00000403313.5	462	585	1	1	0	0	1	63
ENST00000496226.1	182	338	1	1	0	0	1	52
ENST00000413424.5	419	548	1	1	0	0	11	75
ENST00000216225.8	119	197	0	0	0	4	0	71
ENST00000452106.5	1862	1966	1	1	0	0	5	70
ENST00000405486.5	423	675	0	0	0	3	0	60
ENST00000405486.5	1723	1833	1	3	0	0	2	56
ENST00000405486.5	2623	2836	2	4	0	0	2	59
ENST00000356244.7	1314	1424	1	3	0	0	2	56
ENST00000356244.7	2214	2427	2	4	0	0	2	59
ENST00000455915.6	2480	2590	1	3	0	0	2	56
ENST00000455915.6	3380	3593	2	4	0	0	2	59
ENST00000422838.1	363	796	1	1	0	2	0	50
ENST00000396504.6	1502	1957	2	2	0	0	9	74
ENST00000396504.6	2080	2559	2	2	0	0	3	55
ENST00000396504.6	2693	3526	2	2	0	0	3	72
ENST00000355209.8	1764	2219	2	2	0	0	9	74
ENST00000355209.8	2342	2821	2	2	0	0	3	55
ENST00000355209.8	2955	3788	2	2	0	0	3	72
ENST00000337566.9	36	341	1	1	0	0	1	33
ENST00000431534.5	650	704	1	1	0	0	3	68
ENST00000432789.1	438	676	1	1	0	0	4	67
ENST00000263256.6	354	445	2	2	0	1	0	67
ENST00000454936.5	1599	1680	1	1	0	0	1	62
ENST00000248846.9	2376	2413	1	3	0	0	1	27
ENST00000439308.6	2783	2820	1	3	0	0	1	27
ENST00000404241.6	1152	1181	1	1	0	0	1	22
ENST00000337304.2	189	790	1	1	0	0	34	73
ENST00000337304.2	189	808	1	1	0	1	0	42
ENST00000337304.2	1261	1290	1	1	0	0	1	22
ENST00000396680.2	659	688	1	1	0	0	1	22
ENST00000642412.1	1641	1737	2	2	0	0	1	21
ENST00000401850.5	1830	1926	2	2	0	0	1	21
ENST00000249005.3	1529	1625	2	2	0	0	1	21
ENST00000381278.4	1466	1562	2	2	0	0	1	21
ENST00000249014.4	151	891	2	2	0	1	0	73
ENST00000432700.5	274	596	2	2	0	0	1	26
ENST00000422426.5	274	480	2	2	0	0	1	26
ENST00000252785.3	134	163	1	1	0	0	2	71
ENST00000215862.8	381	1246	1	1	0	0	3	54
ENST00000290765.8	539	580	1	1	0	0	1	48
ENST00000337843.6	950	2233	1	1	0	0	1	51
ENST00000326132.10	1157	1528	1	1	0	0	1	63
ENST00000426256.6	1307	1678	1	1	0	0	1	63
ENST00000266252.8	939	1310	1	1	0	0	1	63
ENST00000407308.1	400	1054	1	1	0	0	2	73
ENST00000380909.8	1224	1823	1	1	0	0	1	71
ENST00000303434.8	1247	1846	1	1	0	0	1	71
ENST00000395827.5	1213	1812	1	1	0	0	1	71
ENST00000434570.6	162	401	1	1	0	1	0	73
ENST00000434570.6	611	725	1	1	0	1	0	43
ENST00000434408.1	408	464	1	1	0	1	0	20
ENST00000401406.3	176	234	1	1	0	0	6	64
ENST00000455496.1	379	512	1	1	0	0	4	74
ENST00000402966.1	691	776	1	1	0	1	0	27
ENST00000400518.5	1666	1734	1	1	0	0	4	73
ENST00000542719.6	1666	1734	1	1	0	0	4	73
ENST00000474308.5	1497	1565	1	1	0	0	4	73
ENST00000462330.5	775	843	1	1	0	0	4	73
ENST00000400519.6	1569	2869	1	1	0	0	4	73
ENST00000400519.6	1638	2869	1	1	0	0	2	59
ENST00000400525.6	1520	1588	1	1	0	0	4	73
ENST00000400521.6	1761	1829	1	1	0	0	4	73
ENST00000485358.5	85	129	1	1	0	0	4	75
ENST00000485358.5	615	683	1	1	0	0	2	73
ENST00000406172.6	1017	1104	1	1	0	0	2	64
ENST00000433183.2	201	283	1	1	0	0	1	45
ENST00000610653.4	1143	1605	1	1	0	0	1	49
ENST00000340857.3	2000	2267	1	1	0	1	0	16
ENST00000610984.4	1340	1378	1	1	0	0	2	55
ENST00000359337.8	4230	4268	1	1	0	0	2	55
ENST00000449103.5	75	127	0	0	0	3	0	53
ENST00000449103.5	4278	4316	1	1	0	0	2	55
ENST00000614805.1	379	417	1	1	0	0	2	55
ENST00000359867.7	1899	2327	2	4	0	0	4	67
ENST00000396832.5	2049	2477	2	4	0	0	4	67
ENST00000329627.11	2894	9610	1	1	0	1	1	65
ENST00000329627.11	6327	6636	2	2	0	1	0	31
ENST00000329627.11	7420	9626	2	2	0	1	0	34
ENST00000425691.5	157	248	1	1	0	0	1	43
ENST00000440704.5	113	200	1	1	0	0	1	43
ENST00000623063.3	2180	3852	1	1	0	1	0	70
ENST00000625194.3	598	639	1	1	0	0	10	71
ENST00000255882.10	244	271	1	1	0	1	0	24
ENST00000266263.9	546	778	1	1	0	0	1	46
ENST00000445220.5	2089	2112	0	0	0	0	12	75
ENST00000445220.5	4584	4809	1	3	0	0	2	42
ENST00000262795.5	2107	2130	0	0	0	0	12	75
ENST00000262795.5	4602	4827	1	3	0	0	2	42
ENST00000639722.1	3600	3689	1	1	0	0	1	58
ENST00000639722.1	3776	4006	1	1	0	0	3	74
